id,Province name,development,culture,religion,Trade Goods
80,Trier,12,hessian,catholic,grain
81,Hessen,10,hessian,catholic,wool
82,Lippe,7,hannoverian,catholic,wool
83,Nassau,9,hessian,catholic,copper
84,Berg,9,hessian,catholic,cloth
85,Koln,15,hessian,catholic,paper
86,Munster,12,hannoverian,catholic,cloth
87,Calais,13,wallonian,catholic,fish
88,Artois,15,wallonian,catholic,cloth
89,Picardie,17,cosmopolitan_french,catholic,grain
90,Vlaanderen,18,flemish,catholic,cloth
91,Hainaut,15,wallonian,catholic,cloth
92,Brabant,18,flemish,catholic,cloth
93,Liege,15,wallonian,catholic,glass
94,Luxemburg,12,wallonian,catholic,iron
95,Breda,9,dutch,catholic,cloth
96,Zeeland,11,dutch,catholic,salt
97,Holland,16,dutch,catholic,cloth
98,Utrecht,12,dutch,catholic,cloth
99,Gelre,15,dutch,catholic,livestock
100,Friesland,14,frisian,catholic,livestock
101,Genoa,25,ligurian,catholic,paper
102,Nice,10,ligurian,catholic,fish
103,Piedmont,17,piedmontese,catholic,wine
104,Milan,21,lombard,catholic,cloth
105,Parma,15,romagnan,catholic,livestock
106,Modena,12,romagnan,catholic,livestock
107,Brescia,13,lombard,catholic,cloth
108,Verona,13,venetian,catholic,grain
109,Mantua,19,romagnan,catholic,livestock
110,Trent,8,venetian,catholic,iron
111,Friuli,12,venetian,catholic,wine
112,Venezia,27,venetian,catholic,glass
113,Ferrara,14,romagnan,catholic,salt
114,Romagna,11,romagnan,catholic,salt
115,Pisa,15,tuscan,catholic,wine
116,Firenze,28,tuscan,catholic,wine
117,Siena,20,tuscan,catholic,glass
118,Roma,25,umbrian,catholic,paper
119,Ancona,14,umbrian,catholic,paper
120,Abbruzzi,13,neapolitan,catholic,wine
121,Napoli,22,neapolitan,catholic,grain
122,Apulia,8,neapolitan,catholic,wine
123,Calabria,6,sicilian,catholic,fish
124,Messina,17,sicilian,catholic,fish
125,Palermo,13,sicilian,catholic,wine
126,Malta,8,maltese,catholic,fish
127,Sassari,8,sardinian,catholic,fish
128,Karnten,10,austrian,catholic,iron
129,Krain,10,slovene,catholic,livestock
130,Istria,8,dalmatian,catholic,salt
131,Zagorje,7,croatian,catholic,cloth
132,Steiermark,11,austrian,catholic,grain
133,Linz,11,austrian,catholic,grain
134,Wien,18,austrian,catholic,wine
135,Sopron,8,hungarian,catholic,grain
136,Dalmatia,9,dalmatian,catholic,wool
137,Ragusa,14,dalmatian,catholic,salt
138,Zeta,5,serbian,orthodox,livestock
139,Hum,8,bosnian,catholic,wool
140,Bosnia,7,bosnian,orthodox,salt
141,Serbia,8,serbian,orthodox,grain
142,Corfu,6,greek,orthodox,fish
143,Vlore,4,albanian,orthodox,wool
144,Janina,4,greek,orthodox,wool
145,Morea,6,greek,orthodox,wine
146,Athens,11,greek,orthodox,grain
147,Salonica,12,greek,orthodox,wool
148,Thessaloniki,10,greek,orthodox,cloth
149,Edirne,14,greek,orthodox,cloth
150,Tarnovo,8,bulgarian,orthodox,grain
151,Constantinople,20,greek,orthodox,glass
152,Belovar,6,croatian,catholic,cloth
153,Pest,11,hungarian,catholic,grain
154,Hont,8,slovak,catholic,gold
155,Bekes,6,hungarian,catholic,wine
156,Temes,8,transylvanian,catholic,wool
157,Bihar,5,transylvanian,orthodox,naval_supplies
158,Maros,8,transylvanian,catholic,wool
159,Silistria,6,bulgarian,orthodox,fish
160,Oltenia,8,romanian,orthodox,copper
161,Tirgoviste,13,romanian,orthodox,livestock
162,Zemplen,7,slovak,catholic,grain
163,Crete,13,greek,orthodox,fish
164,Naxos,6,greek,orthodox,wine
165,Bern,13,swiss,catholic,iron
166,Schwyz,10,swiss,catholic,iron
167,Caux,12,normand,catholic,glass
168,Normandie,12,normand,catholic,cloth
169,Armor,12,breton,catholic,cloth
170,Finistere,10,breton,catholic,naval_supplies
171,Vannetais,9,breton,catholic,fish
172,Vendee,12,breton,catholic,salt
173,Labourd,10,basque,catholic,wine
174,Gascogne,21,gascon,catholic,wine
175,Armagnac,15,gascon,catholic,wool
176,Bearn,12,gascon,catholic,wool
177,Maine,16,cosmopolitan_french,catholic,cloth
178,Anjou,15,cosmopolitan_french,catholic,cloth
179,Berry,12,cosmopolitan_french,catholic,wine
180,Poitou,12,cosmopolitan_french,catholic,livestock
181,Rethel,14,wallonian,catholic,cloth
182,Vermandois,14,cosmopolitan_french,catholic,livestock
183,Ile-de-France,23,cosmopolitan_french,catholic,paper
184,Orleanais,17,cosmopolitan_french,catholic,grain
185,Othe,15,cosmopolitan_french,catholic,paper
186,Champagne,16,cosmopolitan_french,catholic,wine
187,Barrois,10,burgundian,catholic,cloth
188,Metz,17,burgundian,catholic,glass
189,Lothringen,15,burgundian,catholic,iron
190,Bourbon,12,cosmopolitan_french,catholic,iron
191,Nevers,13,burgundian,catholic,livestock
192,Bourgogne,20,burgundian,catholic,wine
193,Franche-Comte,10,burgundian,catholic,salt
194,Bergerac,9,gascon,catholic,wine
195,Limousin,8,gascon,catholic,livestock
196,Toulouse,15,occitain,catholic,wine
197,Roussillon,8,catalan,catholic,wine
198,Rouergue,8,occitain,catholic,livestock
199,Auvergne,10,occitain,catholic,iron
200,Languedoc,16,occitain,catholic,cloth
201,Provence,20,occitain,catholic,wine
202,Avignon,11,occitain,catholic,cloth
203,Lyonnais,18,occitain,catholic,paper
204,Dauphine,10,occitain,catholic,wool
205,Savoie,15,occitain,catholic,cloth
206,Galicia,7,galician,catholic,fish
207,Asturias,11,leonese,catholic,livestock
208,Leon,10,leonese,catholic,livestock
209,Vizcaya,6,basque,catholic,iron
210,Navarra,7,basque,catholic,iron
211,Pirineo,7,aragonese,catholic,wool
212,Girona,9,catalan,catholic,fish
213,Barcelona,14,catalan,catholic,glass
214,Aragon,13,aragonese,catholic,cloth
215,Castilla La Vieja,8,castillian,catholic,cloth
216,Salamanca,12,leonese,catholic,livestock
217,Madrid,15,castillian,catholic,cloth
218,Badajoz,8,andalucian,catholic,grain
219,Toledo,14,castillian,catholic,iron
220,Valencia,15,catalan,catholic,cloth
221,Murcia,10,andalucian,catholic,grain
222,Almeria,6,andalucian,sunni,grain
223,Granada,14,andalucian,sunni,silk
224,Andalucia,16,andalucian,catholic,wine
225,Cordoba,10,andalucian,catholic,grain
226,Gibraltar,3,andalucian,sunni,fish
227,Lisboa,16,portugese,catholic,fish
228,Beira,11,portugese,catholic,wine
229,Beja,9,portugese,catholic,livestock
230,Algarve,8,portugese,catholic,salt
231,Porto,19,portugese,catholic,wine
232,Braganca,12,portugese,catholic,wine
233,Cornwall,3,cornish,catholic,copper
234,Hampshire,9,english,catholic,fish
235,Kent,12,english,catholic,cloth
236,London,20,english,catholic,cloth
237,Oxfordshire,10,english,catholic,livestock
238,Essex,14,english,catholic,cloth
239,Gloucestershire,6,english,catholic,naval_supplies
240,Shrewsbury,8,english,catholic,wool
241,Glamorgan,5,welsh,catholic,iron
242,Gwynedd,5,welsh,catholic,livestock
243,Lincoln,8,english,catholic,cloth
244,Lancashire,8,english,catholic,wool
245,Yorkshire,8,english,catholic,cloth
246,Northumberland,8,english,catholic,wool
247,Cumbria,5,english,catholic,wool
248,Lothian,16,scottish,catholic,cloth
249,Ayrshire,10,scottish,catholic,wool
250,Perth,10,highland_scottish,catholic,livestock
251,Aberdeen,9,scottish,catholic,fish
252,Inverness,7,highland_scottish,catholic,wool
253,Western Isles,3,highland_scottish,catholic,grain
254,Poznan,17,polish,catholic,salt
255,Kalisz,7,polish,catholic,cloth
256,Plock,6,polish,catholic,grain
257,Warszawa,12,polish,catholic,cloth
258,Lodz,7,polish,catholic,grain
259,Sandomierz,9,polish,catholic,cloth
260,Lublin,13,polish,catholic,cloth
261,Halicz,8,ruthenian,orthodox,grain
262,Krakow,20,polish,catholic,salt
263,Ratibor,8,schlesian,catholic,iron
264,Breslau,13,schlesian,catholic,cloth
265,Brno,8,czech,hussite,wine
266,Prague,22,czech,hussite,cloth
267,Plsen,11,czech,catholic,naval_supplies
268,Moldavia,11,romanian,orthodox,livestock
269,Podlasia,13,polish,catholic,livestock
270,Troki,8,lithuanian,,livestock
271,Samogitia,6,lithuanian,catholic,livestock
272,Lithuania,13,lithuanian,catholic,grain
273,Latgalia,5,latvian,catholic,livestock
274,Pskov,14,novgorodian,orthodox,livestock
275,Polotsk,9,byelorussian,orthodox,iron
276,Minsk,7,byelorussian,orthodox,naval_supplies
277,Brest,6,byelorussian,orthodox,wool
278,Pinsk,6,byelorussian,orthodox,wool
279,Volhynia,10,ruthenian,orthodox,livestock
280,Kiev,10,ruthenian,orthodox,grain
281,Kamienec,6,ruthenian,orthodox,livestock
282,Yedisan,5,crimean,sunni,livestock
283,Zaporozhia,4,crimean,sunni,livestock
284,Crimea,18,crimean,sunni,salt
285,Kaffa,10,pontic_greek,orthodox,wine
286,Azow,9,crimean,sunni,slaves
287,Kouban,9,crimean,sunni,livestock
288,Cherkassk,8,mishary,sunni,livestock
289,Chernigov,5,ryazanian,orthodox,iron
290,Poltava,5,ruthenian,orthodox,grain
291,Kharkov,5,ryazanian,orthodox,iron
292,Mogilyov,5,byelorussian,orthodox,wool
293,Smolensk,9,ryazanian,orthodox,grain
294,Tver,11,russian,orthodox,grain
295,Moskva,17,russian,orthodox,iron
296,Kaluga,8,russian,orthodox,grain
297,Bryansk,5,ryazanian,orthodox,grain
298,Kursk,4,ryazanian,orthodox,grain
299,Voronezh,8,mishary,sunni,livestock
300,Tula,8,ryazanian,orthodox,iron
301,Ryazan,13,ryazanian,orthodox,wool
302,Tambow,9,mishary,sunni,iron
303,Saratow,12,mishary,sunni,livestock
304,Pensa,8,kazani,sunni,livestock
305,Perm,11,uralic,tengri_pagan_reformed,copper
306,Nijni-Novgorod,13,russian,orthodox,copper
307,Vladimir,11,russian,orthodox,iron
308,Yaroslavl,11,russian,orthodox,livestock
309,Olonets,8,karelian,orthodox,fur
310,Novgorod,20,novgorodian,orthodox,fur
311,Kholm,6,novgorodian,orthodox,naval_supplies
312,Beloozero,7,novgorodian,orthodox,naval_supplies
313,Soroka,4,novgorodian,orthodox,fur
314,Vologda,8,russian,orthodox,iron
315,Finnmark,3,sapmi,catholic,fish
316,Kocaeli,9,turkish,sunni,grain
317,Hudavendigar,12,turkish,sunni,silk
318,Sugla,10,turkish,sunni,cotton
319,Mentese,9,turkish,sunni,salt
320,Rhodes,11,greek,orthodox,fish
321,Cyprus,15,greek,orthodox,wine
322,Kutahya,8,turkish,sunni,cloth
323,Konya,9,turkish,sunni,salt
324,Karaman,14,turkish,sunni,livestock
325,Kastamonu,10,turkish,sunni,copper
326,Ankara,9,turkish,sunni,cloth
327,Adana,10,turkish,sunni,cotton
328,Sinop,8,turkish,sunni,naval_supplies
329,Sivas,9,turkish,shiite,livestock
330,Trebizond,12,pontic_greek,orthodox,naval_supplies
331,Erzurum,12,armenian,coptic,livestock
332,Marash,6,turkish,sunni,wool
333,The Baleares,5,catalan,catholic,sugar
334,Tangiers,7,moroccan,sunni,cloth
335,Mellila,7,berber,sunni,fish
336,Tlemcen,13,berber,sunni,cloth
337,Oran,7,algerian,sunni,cloth
338,Al-Djazair,13,algerian,sunni,grain
339,Bejaia,8,berber,sunni,iron
340,Constantine,8,berber,sunni,grain
341,Tunis,14,tunisian,sunni,cloth
342,Toubkhal,10,moroccan,sunni,grain
343,Fez,13,moroccan,sunni,cloth
344,Marrakech,12,moroccan,sunni,sugar
345,Safi,3,moroccan,sunni,sugar
346,Figuig,10,moroccan,sunni,gold
347,Ifni,3,berber,sunni,fish
348,Sus,12,berber,sunni,sugar
349,Atlas,5,berber,sunni,livestock
350,Aures,3,algerian,sunni,livestock
351,Biskra,3,berber,sunni,wool
352,Gafsa,5,tunisian,sunni,salt
353,Gabes,3,tunisian,sunni,grain
354,Tripolitania,5,tunisian,sunni,cloth
355,Sirt,3,tunisian,sunni,fish
356,Benghazi,6,al_misr_arabic,sunni,livestock
357,Darnah,3,al_misr_arabic,sunni,livestock
358,Alexandria,13,al_misr_arabic,sunni,spices
359,Faiyum,12,al_misr_arabic,sunni,cotton
360,Qena,3,al_misr_arabic,sunni,livestock
361,Cairo,24,al_misr_arabic,sunni,cloth
362,Rosetta,10,al_misr_arabic,sunni,grain
363,Damietta,10,al_misr_arabic,sunni,grain
364,Gaza,8,al_suryah_arabic,sunni,salt
365,Sinai,3,bedouin_arabic,sunni,gems
366,The Canarias,7,berber,animism,unknown
367,The Azores,7,berber,animism,fish
368,Madeira,9,berber,animism,unknown
369,Orkney,3,norwegian,catholic,fish
370,Reykjavik,3,icelandic,catholic,fish
371,Akureyri,3,icelandic,catholic,fish
372,Tyrone,8,irish,catholic,wool
373,Meath,8,irish,catholic,livestock
374,Leinster,6,irish,catholic,livestock
375,Munster,8,irish,catholic,fish
376,Connaught,6,irish,catholic,livestock
377,Aleppo,22,al_suryah_arabic,sunni,silk
378,Tripoli,16,al_suryah_arabic,shiite,grain
379,Jerusalem,13,al_suryah_arabic,sunni,grain
380,Al Karak,3,bedouin_arabic,sunni,grain
381,Ajlun,6,al_suryah_arabic,sunni,grain
382,Damascus,20,al_suryah_arabic,sunni,iron
383,Tabuk,5,bedouin_arabic,sunni,livestock
384,Medina,9,hejazi_culture,sunni,cloth
385,Mecca,12,hejazi_culture,sunni,incense
386,Asir,6,hejazi_culture,shiite,coffee
387,Mokha,8,yemeni_culture,sunni,coffee
388,Aden,11,yemeni_culture,sunni,incense
389,Mukalla,5,yemeni_culture,sunni,incense
390,Sanaa,11,yemeni_culture,shiite,wool
391,Najran,6,yemeni_culture,shiite,cloth
392,Al-Arid,3,bedouin_arabic,sunni,livestock
393,Jabal Shammar,3,bedouin_arabic,sunni,grain
394,El Catif,3,gulf_arabic,shiite,fish
395,Qatar,5,gulf_arabic,shiite,gems
396,Bahrain,4,gulf_arabic,shiite,gems
397,Abu Dhabi,3,gulf_arabic,shiite,livestock
398,Qawasim,5,gulf_arabic,ibadi,livestock
399,Suhar,9,omani_culture,ibadi,grain
400,Muscat,9,omani_culture,ibadi,gems
401,Dhofar,3,mahri_culture,sunni,incense
402,Mahra,3,mahri_culture,sunni,incense
403,Nizwa,9,omani_culture,ibadi,wool
404,Liwa,3,gulf_arabic,sunni,spices
405,Tadmor,4,bedouin_arabic,sunni,livestock
406,As Sahiliyah,6,al_iraqiya_arabic,sunni,livestock
407,Ar Raqqa,3,al_suryah_arabic,sunni,livestock
408,Basra,11,al_iraqiya_arabic,shiite,salt
409,Hillah,6,al_iraqiya_arabic,shiite,wool
410,Baghdad,12,al_iraqiya_arabic,sunni,cloth
411,Mosul,12,kurdish,sunni,cloth
412,Khuzestan,9,al_iraqiya_arabic,shiite,sugar
413,Lorestan,8,luri,shiite,grain
414,Hamadan,6,luri,sunni,cloth
415,Shahrizor,9,kurdish,sunni,grain
416,Tabriz,17,azerbaijani,shiite,silk
417,Lahijan,12,mazandarani,shiite,silk
418,Diyarbakir,8,kurdish,sunni,livestock
419,Yerevan,11,armenian,coptic,wine
420,Ganja,6,azerbaijani,shiite,cotton
421,Shirvan,8,azerbaijani,sunni,silk
422,Imereti,9,georgian,orthodox,cloth
423,Tblisi,10,georgian,orthodox,dyes
424,Ardabil,9,azerbaijani,shiite,dyes
425,Dagestan,7,dagestani,sunni,fish
426,Amol,10,mazandarani,shiite,silk
427,Qumis,3,khorasani,sunni,wool
428,Teheran,14,persian,shiite,silk
429,Isfahan,11,persian,sunni,paper
430,Bushehr,7,persian,shiite,silk
431,Mogostan,9,gulf_arabic,sunni,spices
432,Kerman,7,persian,sunni,paper
433,Yazd,6,persian,zoroastrian,paper
434,Quhistan,7,baluchi,sunni,livestock
435,Zaranj,6,khorasani,sunni,wool
436,Birjand,6,khorasani,sunni,cotton
437,Atak,3,turkmeni,sunni,livestock
438,Kara Kum,3,turkmeni,sunni,livestock
439,Mangyshlak,3,nogaybak,sunni,fish
440,Qaraqalpak,9,uzbehk,sunni,wool
441,Khiva,9,uzbehk,sunni,wool
442,Bukhara,15,uzbehk,sunni,salt
443,Ust Yurt,6,nogaybak,sunni,livestock
444,Charjuy,6,uzbehk,sunni,livestock
445,Merv,8,turkmeni,sunni,cotton
446,Herat,13,khorasani,sunni,paper
447,Kandahar,7,afghani,sunni,cotton
448,Gazni,7,afghani,sunni,grain
449,Ghor,8,afghani,sunni,wool
450,Balkh,9,afghani,sunni,cotton
451,Kabul,12,afghani,sunni,gems
452,Badakhshan,3,afghani,sunni,gems
453,Qarshi,4,uzbehk,sunni,cotton
454,Samarkand,21,uzbehk,sunni,paper
455,Kyrzyl-Kum,3,khazak,sunni,livestock
456,Turkestan,3,khazak,sunni,grain
457,Tashkent,9,uzbehk,sunni,tea
458,Kokand,12,uzbehk,sunni,iron
459,Taraz,5,khazak,sunni,cloth
460,Uzkend,12,kirgiz,sunni,wool
461,Almaty,6,khazak,sunni,cloth
462,Mingrelia,6,georgian,orthodox,wine
463,Circassia,7,circassian,orthodox,livestock
464,Astrakhan,15,astrakhani,sunni,wool
465,Nogay,9,nogaybak,sunni,salt
466,Sarai,17,astrakhani,sunni,wool
467,Borisoglebsk,6,mishary,sunni,livestock
468,Khazaria,5,astrakhani,sunni,livestock
469,Ryn,3,nogaybak,sunni,fish
470,Bayuly,6,nogaybak,sunni,livestock
471,Alimuly,6,nogaybak,sunni,livestock
472,Jetyru,6,nogaybak,sunni,naval_supplies
473,Samara,7,kazani,sunni,livestock
474,Yaik,6,nogaybak,sunni,iron
475,Bashkortostan,9,bashkir,sunni,wool
476,Kypshak,18,khazak,sunni,grain
477,Nadym,6,khazak,sunni,wool
478,Argyn,6,khazak,sunni,wool
479,Kerey,6,khazak,sunni,copper
480,Kulunda,3,kirgiz,tengri_pagan_reformed,unknown
481,Bermuda,3,english,protestant,unknown
482,Bahamas,5,arawak,animism,unknown
483,Turks Islands,7,carib,animism,unknown
484,Havana,11,arawak,animism,unknown
485,Moron,6,arawak,animism,unknown
486,Guantanamo,6,arawak,animism,unknown
487,Jamaica,10,arawak,animism,unknown
488,Les Cayes,6,arawak,animism,unknown
489,Tortuga,5,arawak,animism,unknown
490,Barahonas,6,arawak,animism,unknown
491,Curacao,7,arawak,animism,unknown
492,Puerto Rico,10,arawak,animism,unknown
493,St. Thomas,9,arawak,animism,unknown
494,St. Kitts,9,arawak,animism,unknown
495,Antigua,10,carib,animism,unknown
496,Guadeloupe,10,carib,animism,unknown
497,Dominica,10,carib,animism,unknown
498,Martinique,10,carib,animism,unknown
499,St. Lucia,10,carib,animism,unknown
500,St. Vincent,10,arawak,animism,unknown
501,Barbados,10,carib,animism,unknown
502,Trinidad,10,carib,animism,unknown
503,Kutch,3,saurashtri,hinduism,salt
504,Thatta,10,sindhi,sunni,cloth
505,Sehwan,6,sindhi,sunni,silk
506,Multan,12,panjabi,sunni,cloth
507,Lahore,23,panjabi,hinduism,silk
508,Kashmir,7,kashmiri,hinduism,paper
509,Kangra,5,pahari,hinduism,cotton
510,Sirhind,10,panjabi,hinduism,cotton
511,Garhwal,3,pahari,hinduism,cotton
512,Jangladesh,3,rajput,hinduism,livestock
513,Jaisalmer,3,rajput,hinduism,wool
514,Marwar,6,rajput,hinduism,cotton
515,Girnar,8,saurashtri,hinduism,iron
516,Baroda,9,gujarati,hinduism,dyes
517,Surat,11,gujarati,hinduism,silk
518,Chittor,5,rajput,hinduism,grain
519,Dhundar,8,rajput,hinduism,copper
520,Mewat,4,rajput,hinduism,glass
521,Kathiawar,5,saurashtri,hinduism,dyes
522,Delhi,22,kanauji,hinduism,silk
523,Oudh,10,avadhi,hinduism,glass
524,Central Doab,24,kanauji,hinduism,silk
525,Gird,8,vindhyan,hinduism,dyes
526,Mandu,13,malvi,hinduism,dyes
527,Khandesh,12,marathi,hinduism,cloth
528,Hadoti,5,rajput,hinduism,cotton
529,North Konkan,9,marathi,hinduism,cloth
530,South Konkan,10,marathi,hinduism,spices
531,North Kanara,7,kannada,hinduism,spices
532,Raichur Doab,13,kannada,hinduism,cloth
533,Mysore,8,kannada,hinduism,iron
534,Malabar,7,malayalam,hinduism,spices
535,Kochin,8,malayalam,hinduism,spices
536,Madurai,11,tamil,hinduism,silk
537,Venad,5,malayalam,hinduism,spices
538,Kongu,6,tamil,hinduism,incense
539,Tondainadu,10,tamil,hinduism,cloth
540,Coromandel,11,tamil,hinduism,cloth
541,Vijayanagar,16,kannada,hinduism,grain
542,Golconda,11,telegu,hinduism,gems
543,Velanadu,11,telegu,hinduism,gems
544,Ahmadnagar,9,marathi,hinduism,cotton
545,Marathwada,8,marathi,hinduism,paper
546,East Berar,9,gondi,hinduism,cotton
547,Bastar,4,gondi,hinduism,tropical_wood
548,West Berar,5,marathi,hinduism,copper
549,Kalingandhra,8,telegu,hinduism,cotton
550,Mahakoshal,9,gondi,hinduism,grain
551,Mandla,8,gondi,hinduism,tropical_wood
552,Cuttack,14,oriya,hinduism,cloth
553,Sambalpur,8,garjati,hinduism,cloth
554,Baisi Rajya,5,nepali,hinduism,wool
555,Jaunpur,14,avadhi,hinduism,paper
556,Lower Doab,14,avadhi,hinduism,cloth
557,Katmandu,8,nepali,hinduism,incense
558,Patna,12,bihari,hinduism,paper
559,Bundelkhand,8,vindhyan,hinduism,iron
560,Jharkand,5,jharkhandi,hinduism,iron
561,Bengal Delta,12,bengali,hinduism,silk
562,Koch Behar,9,kochi,hinduism,grain
563,Gauda,16,bengali,hinduism,paper
564,Dakha,13,bengali,hinduism,cloth
565,Bhutan,5,tibetan,vajrayana,wool
566,Assam,11,assamese,hinduism,grain
567,Silhet,8,bengali,hinduism,cotton
568,Chittagong,13,bengali,hinduism,cotton
569,Bijapur,13,kannada,hinduism,cotton
570,Naga,6,chin,hinduism,tropical_wood
571,Darrang,9,assamese,hinduism,silk
572,Kotte,7,sinhala,buddhism,spices
573,Cachar,3,chin,hinduism,grain
574,The Andamans,3,filipino,animism,unknown
575,Eastern Makran,3,baluchi,sunni,fish
576,Kalat,10,baluchi,sunni,dyes
577,Quetta,9,baluchi,sunni,grain
578,Roh,10,afghani,sunni,livestock
579,Mrauk U,10,arakanese,buddhism,grain
580,Kale,7,chin,animism,ivory
581,Sagaing,14,burmese,buddhism,cotton
582,Mong Yang,9,shan,buddhism,copper
583,Hsenwi,9,shan,buddhism,tropical_wood
584,Ava,16,burmese,buddhism,gems
585,Taungoo,14,burmese,buddhism,chinaware
586,Pegu,12,mon,buddhism,spices
587,Kengtung,4,shan,animism,tropical_wood
588,Mong Nai,6,shan,buddhism,cotton
589,Chiang Mai,17,northern_thai,buddhism,ivory
590,Moulmein,8,mon,buddhism,sugar
591,Tavoy,10,mon,buddhism,naval_supplies
592,Ratchaburi,9,central_thai,buddhism,grain
593,Nakhon Si Thammarat,12,central_thai,buddhism,tropical_wood
594,Pattani,15,malayan,sunni,tropical_wood
595,Perak,12,malayan,sunni,copper
596,Malacca,17,malayan,sunni,spices
597,Johor,12,malayan,sunni,chinaware
598,Pahang,5,malayan,sunni,fish
599,Kelantan,6,malayan,sunni,naval_supplies
600,Ayutthaya,20,central_thai,buddhism,ivory
601,Sukhothai,15,central_thai,buddhism,chinaware
602,Chiang Rai,12,northern_thai,buddhism,grain
603,Nakhon Thung Yai,11,central_thai,buddhism,gems
604,Oudong,10,khmer,buddhism,incense
605,Prey Nokor,11,khmer,hinduism,tropical_wood
606,Panduranga,10,cham,hinduism,fish
607,Vijaya,12,cham,hinduism,tropical_wood
608,Attapeu,5,lao,animism,ivory
609,Angkor,6,khmer,hinduism,tropical_wood
610,Thanh Hoa,15,vietnamese,mahayana,grain
611,Sikhottabong,6,lao,animism,grain
612,Khorat,5,khmer,buddhism,silk
613,Dong Kinh,20,vietnamese,mahayana,chinaware
614,Vientiane,14,lao,buddhism,grain
615,Luang Prabang,11,lao,animism,chinaware
616,Cao Bang,7,zhuang,mahayana,grain
617,Lamuri,11,acehnese,sunni,spices
618,Deli,8,sumatran,sunni,spices
619,Batak,6,sumatran,hinduism,incense
620,Siak,13,sumatran,sunni,chinaware
621,Bengkulu,8,sumatran,hinduism,unknown
622,Palembang,13,sumatran,hinduism,unknown
623,Tulangbewang,7,sumatran,hinduism,spices
624,Banten,11,sundanese,hinduism,spices
625,Ciamis,10,sundanese,hinduism,tropical_wood
626,Karta,13,javanese,hinduism,grain
627,Blambangan,11,javanese,hinduism,cotton
